Timestamp,FromBank,FromAccount,ToAccount,Amount,PaymentType,Suspicious
2025-02-05 0:00,Bank4,Client28,Client10,2166.98,Check,No
2025-02-05 0:01,Bank8,Client21,Client3,2066.42,ACH,No
2025-02-05 0:02,Bank1,Client7,Client17,1583.41,ACH,No
2025-02-05 0:03,Bank10,Client24,Client27,2532.3,Credit Card,No
2025-02-05 0:03,Bank5,Client6,Client19,2012.53,Credit Card,No
2025-02-05 0:04,Bank4,Client4,Client30,1814.68,Credit Card,No
2025-02-05 0:08,Bank4,Client10,Client15,2394.95,Credit Card,No
2025-02-05 0:09,Bank4,Client10,Client19,1872.24,Credit Card,No
2025-02-05 0:09,Bank10,Client23,Client6,1290.07,ACH,No
2025-02-05 0:09,Bank7,Client10,Client17,2065.1,Credit Card,No
2025-02-05 0:10,Bank8,Client26,Client36,2056.55,Wire Transfer,No
2025-02-05 0:11,Bank7,Client19,Client11,2076.66,Crypto,No
2025-02-05 0:12,Bank8,Client18,Client6,1966.06,Check,No
2025-02-05 0:12,Bank2,Client17,Client15,1801.49,Check,No
2025-02-05 0:15,Bank1,Client23,Client21,1406.47,Crypto,No
2025-02-05 0:19,Bank1,Client4,Client6,1883.1,Credit Card,No
2025-02-05 0:20,Bank9,Client10,Client12,2051.87,Check,No
2025-02-05 0:20,Bank1,Client4,Client6,2281.39,Wire Transfer,No
2025-02-05 0:20,Bank3,Client21,Client15,2156.17,Wire Transfer,No
2025-02-05 0:22,Bank3,Client2,Client16,2232.99,Credit Card,No
2025-02-05 0:23,Bank9,Client34,Client25,1745.62,Check,No
2025-02-05 0:23,Bank9,Client20,Client22,1557.3,Crypto,No
2025-02-05 0:24,Bank7,Client10,Client29,1623.63,Check,No
2025-02-05 0:24,Bank1,Client21,Client28,1844.42,Credit Card,No
2025-02-05 0:25,Bank5,Client10,Client16,2493.43,ACH,No
2025-02-05 0:26,Bank6,Client13,Client24,1817.64,Credit Card,No
2025-02-05 0:27,Bank1,Client4,Client13,1742.74,Credit Card,No
2025-02-05 0:28,Bank9,Client9,Client18,2286.17,Wire Transfer,No
2025-02-05 0:28,Bank2,Client21,Client7,1921.22,Crypto,No
2025-02-05 0:36,Bank4,Client1,Client9,2125.88,Credit Card,No
2025-02-05 0:36,Bank1,Client10,Client16,2160.3,Check,No
2025-02-05 0:37,Bank9,Client17,Client25,2177.83,Wire Transfer,No
2025-02-05 0:40,Bank6,Client31,Client17,2129.88,Credit Card,No
2025-02-05 0:42,Bank5,Client36,Client15,2406.88,Wire Transfer,No
2025-02-05 0:42,Bank5,Client4,Client16,2100.63,ACH,No
2025-02-05 0:45,Bank3,Client10,Client28,2040.17,Check,No
2025-02-05 0:46,Bank5,Client10,Client25,2358.99,Crypto,No
2025-02-05 0:46,Bank5,Client13,Client35,1826.73,Wire Transfer,No
2025-02-05 0:47,Bank4,Client17,Client12,2024.28,ACH,No
2025-02-05 0:49,Bank6,Client10,Client19,2262.33,Check,No
2025-02-05 0:50,Bank6,Client13,Client12,1941.3,ACH,No
2025-02-05 1:02,Bank4,Client21,Client27,2015.13,Credit Card,No
2025-02-05 1:02,Bank1,Client10,Client8,2300.4,Wire Transfer,No
2025-02-05 1:04,Bank10,Client6,Client22,1948.43,Credit Card,No
2025-02-05 1:04,Bank4,Client10,Client6,2009.66,Crypto,No
2025-02-05 1:05,Bank8,Client21,Client34,1643.03,Check,No
2025-02-05 1:07,Bank8,Client13,Client17,1845.93,ACH,No
2025-02-05 1:09,Bank2,Client10,Client34,2336.43,ACH,No
2025-02-05 1:11,Bank6,Client10,Client5,2007.48,Wire Transfer,No
2025-02-05 1:11,Bank4,Client10,Client34,1915.04,ACH,No
2025-02-05 1:13,Bank2,Client36,Client21,1375.2,Credit Card,No
2025-02-05 1:13,Bank5,Client21,Client23,1355.07,ACH,No
2025-02-05 1:15,Bank2,Client40,Client12,1873.68,Check,No
2025-02-05 1:15,Bank1,Client21,Client16,2555.22,ACH,No
2025-02-05 1:19,Bank9,Client21,Client4,1674.59,Wire Transfer,No
2025-02-05 1:20,Bank4,Client3,Client16,1959.8,Check,No
2025-02-05 1:22,Bank5,Client3,Client9,1687.61,Crypto,Yes
2025-02-05 1:24,Bank5,Client14,Client28,1822.98,Check,No
2025-02-05 1:25,Bank1,Client4,Client8,1905.18,Check,No
2025-02-05 1:27,Bank4,Client10,Client37,1925.51,Check,No
2025-02-05 1:28,Bank7,Client4,Client28,2045.16,Wire Transfer,No
2025-02-05 1:28,Bank4,Client13,Client16,1748.81,ACH,No
2025-02-05 1:28,Bank9,Client33,Client2,1977.83,Check,No
2025-02-05 1:31,Bank10,Client21,Client7,2181.52,Crypto,No
2025-02-05 1:31,Bank5,Client40,Client38,1772.4,Credit Card,No
2025-02-05 1:33,Bank2,Client10,Client5,2271.33,ACH,No
2025-02-05 1:36,Bank7,Client21,Client31,1834.87,ACH,No
2025-02-05 1:37,Bank4,Client20,Client26,2502.21,ACH,No
2025-02-05 1:37,Bank5,Client9,Client14,2260.44,Check,No
2025-02-05 1:38,Bank5,Client13,Client36,1936.27,ACH,No
2025-02-05 1:38,Bank3,Client25,Client31,2115.86,Credit Card,No
2025-02-05 1:40,Bank3,Client21,Client19,2283.74,Wire Transfer,No
2025-02-05 1:40,Bank6,Client21,Client40,1418.56,Check,No
2025-02-05 1:41,Bank1,Client21,Client18,1815.26,Crypto,No
2025-02-05 1:43,Bank2,Client21,Client23,1656.02,Credit Card,No
2025-02-05 1:45,Bank4,Client10,Client9,1636.77,ACH,No
2025-02-05 1:46,Bank7,Client10,Client2,2103.55,Credit Card,No
2025-02-05 1:49,Bank1,Client4,Client27,1975.67,Crypto,No
2025-02-05 1:49,Bank9,Client21,Client29,1588.41,Crypto,No
2025-02-05 1:52,Bank9,Client25,Client27,2344.06,Crypto,No
2025-02-05 1:53,Bank4,Client37,Client12,2198.88,Credit Card,No
2025-02-05 1:54,Bank1,Client2,Client40,2039.4,ACH,No
2025-02-05 1:55,Bank9,Client13,Client39,2109.34,ACH,No
2025-02-05 1:56,Bank9,Client20,Client17,1810.38,Wire Transfer,No
2025-02-05 1:56,Bank7,Client9,Client13,2108.63,Check,No
2025-02-05 1:59,Bank7,Client5,Client10,1515.57,Crypto,No
2025-02-05 2:00,Bank9,Client10,Client12,1777.95,Check,No
2025-02-05 2:01,Bank9,Client18,Client1,1489.93,Check,No
2025-02-05 2:02,Bank7,Client10,Client17,2240.21,Wire Transfer,No
2025-02-05 2:02,Bank9,Client21,Client17,2259.81,Wire Transfer,No
2025-02-05 2:06,Bank6,Client33,Client7,1997.51,Check,No
2025-02-05 2:06,Bank6,Client21,Client25,2516.93,Credit Card,No
2025-02-05 2:07,Bank9,Client21,Client13,1923.47,Crypto,No
2025-02-05 2:07,Bank2,Client6,Client4,2094.63,Check,No
2025-02-05 2:08,Bank1,Client27,Client8,1889.94,Check,No
2025-02-05 2:08,Bank4,Client10,Client2,1934.11,Wire Transfer,No
2025-02-05 2:09,Bank2,Client17,Client26,1877.54,ACH,No
2025-02-05 2:10,Bank5,Client13,Client37,2463.38,ACH,No
2025-02-05 2:10,Bank6,Client29,Client32,2164.36,Credit Card,No
2025-02-05 2:12,Bank9,Client15,Client34,1925.88,Check,No
2025-02-05 2:13,Bank5,Client27,Client36,1904.11,Crypto,No
2025-02-05 2:15,Bank1,Client1,Client16,1617.48,ACH,No
2025-02-05 2:19,Bank8,Client21,Client37,2115.63,Crypto,No
2025-02-05 2:20,Bank4,Client21,Client33,2360.94,Check,No
2025-02-05 2:21,Bank6,Client30,Client19,1905.85,Crypto,No
2025-02-05 2:22,Bank5,Client30,Client40,1912.62,Credit Card,No
2025-02-05 2:22,Bank3,Client21,Client12,2168.76,Check,No
2025-02-05 2:23,Bank6,Client38,Client1,1719.38,ACH,No
2025-02-05 2:26,Bank2,Client4,Client35,1360.99,Crypto,No
2025-02-05 2:27,Bank10,Client31,Client3,2365.93,Crypto,No
2025-02-05 2:28,Bank7,Client4,Client21,2188.12,ACH,No
2025-02-05 2:28,Bank3,Client24,Client25,2140.13,ACH,No
2025-02-05 2:28,Bank4,Client27,Client30,1885.1,Wire Transfer,No
2025-02-05 2:29,Bank8,Client13,Client5,1391.2,Wire Transfer,No
2025-02-05 2:30,Bank8,Client21,Client11,1368.82,Wire Transfer,No
2025-02-05 2:30,Bank9,Client10,Client28,1885.12,Credit Card,No
2025-02-05 2:30,Bank9,Client13,Client29,1994.61,Crypto,No
2025-02-05 2:33,Bank2,Client11,Client35,1918.45,Check,No
2025-02-05 2:34,Bank8,Client21,Client34,2217.75,Wire Transfer,No
2025-02-05 2:35,Bank5,Client4,Client17,1872.23,Check,No
2025-02-05 2:35,Bank10,Client12,Client1,2198.77,ACH,No
2025-02-05 2:37,Bank1,Client4,Client30,2100.14,Wire Transfer,No
2025-02-05 2:38,Bank1,Client13,Client12,2347.98,Crypto,No
2025-02-05 2:41,Bank2,Client6,Client19,1845.73,Check,No
2025-02-05 2:47,Bank10,Client10,Client12,2332.15,Wire Transfer,No
2025-02-05 2:48,Bank9,Client25,Client27,1765.61,Wire Transfer,No
2025-02-05 2:48,Bank7,Client4,Client2,2289.87,Crypto,No
2025-02-05 2:50,Bank7,Client10,Client1,1759.08,Crypto,No
2025-02-05 2:51,Bank9,Client4,Client22,2105.88,Credit Card,No
2025-02-05 2:53,Bank2,Client24,Client20,2105.54,Credit Card,No
2025-02-05 2:54,Bank5,Client2,Client29,1963.35,Wire Transfer,No
2025-02-05 2:55,Bank4,Client13,Client29,1906.29,ACH,No
2025-02-05 2:56,Bank3,Client21,Client28,1755.98,Credit Card,No
2025-02-05 2:58,Bank6,Client13,Client21,1532.95,Crypto,No
2025-02-05 2:59,Bank6,Client35,Client4,1877.27,ACH,No
2025-02-05 2:59,Bank3,Client10,Client15,1574.92,Check,No
2025-02-05 3:00,Bank8,Client36,Client30,2381.1,Crypto,No
2025-02-05 3:01,Bank9,Client18,Client5,2062.46,Check,No
2025-02-05 3:01,Bank2,Client10,Client20,1503.42,Wire Transfer,No
2025-02-05 3:08,Bank6,Client10,Client5,2450.53,Check,No
2025-02-05 3:08,Bank4,Client34,Client30,2750.92,Crypto,No
2025-02-05 3:20,Bank10,Client5,Client3,2036.75,Credit Card,No
2025-02-05 3:22,Bank2,Client21,Client40,1828.07,Credit Card,No
2025-02-05 3:23,Bank5,Client10,Client25,1953.51,Check,No
2025-02-05 3:23,Bank2,Client32,Client2,1518.9,Crypto,No
2025-02-05 3:24,Bank2,Client25,Client6,1828.64,Check,No
2025-02-05 3:26,Bank10,Client10,Client38,2014.16,Credit Card,No
2025-02-05 3:26,Bank8,Client25,Client24,2200.68,Wire Transfer,No
2025-02-05 3:27,Bank3,Client18,Client21,1758.05,ACH,No
2025-02-05 3:29,Bank9,Client4,Client38,2046.17,Crypto,No
2025-02-05 3:33,Bank6,Client22,Client32,2217.37,Wire Transfer,No
2025-02-05 3:34,Bank9,Client29,Client10,2482.95,Credit Card,No
2025-02-05 3:35,Bank8,Client6,Client40,1838.37,Wire Transfer,No
2025-02-05 3:35,Bank2,Client13,Client19,1875.7,Check,No
2025-02-05 3:36,Bank4,Client24,Client25,1824.69,Credit Card,No
2025-02-05 3:37,Bank10,Client21,Client27,1774.82,Crypto,No
2025-02-05 3:39,Bank3,Client21,Client30,2059.01,Crypto,No
2025-02-05 3:41,Bank6,Client21,Client35,2341.25,Credit Card,No
2025-02-05 3:43,Bank4,Client11,Client37,2522.12,Check,No
2025-02-05 3:44,Bank3,Client20,Client35,1511.1,ACH,No
2025-02-05 3:44,Bank7,Client4,Client9,2227.57,ACH,No
2025-02-05 3:45,Bank7,Client4,Client18,2438.09,Crypto,No
2025-02-05 3:46,Bank6,Client4,Client6,1783.69,ACH,No
2025-02-05 3:51,Bank7,Client11,Client27,1915.07,Wire Transfer,No
2025-02-05 3:51,Bank7,Client10,Client4,2087.77,Credit Card,No
2025-02-05 3:52,Bank9,Client4,Client30,2025.14,Crypto,No
2025-02-05 3:54,Bank4,Client4,Client7,1698.89,ACH,No
2025-02-05 3:55,Bank5,Client2,Client20,1730.5,Check,No
2025-02-05 3:59,Bank2,Client13,Client19,1728.12,Credit Card,No
2025-02-05 4:00,Bank5,Client13,Client5,1808.42,Crypto,No
2025-02-05 4:00,Bank1,Client21,Client3,2004.72,Check,No
2025-02-05 4:01,Bank4,Client9,Client35,1810.06,Credit Card,No
2025-02-05 4:02,Bank1,Client13,Client20,2075.29,Check,No
2025-02-05 4:06,Bank7,Client4,Client18,1935.23,Wire Transfer,No
2025-02-05 4:08,Bank3,Client13,Client1,1452.7,Crypto,No
2025-02-05 4:09,Bank4,Client13,Client26,2330.85,Wire Transfer,No
